#Source Plate,Source Well,Proposed Destination Plate,Proposed Destination Well
6,B12,1,A02
8,C06,1,A03
11,B05,1,A04
14,B11,1,A05
15,G03,1,A06
17,E11,1,A07
19,D07,1,A08
20,F10,1,A09
21,G09,1,A10
1,B01,1,B01
6,H12,1,B02
8,C07,1,B03
11,F03,1,B04
14,B04,1,B05
16,C12,1,B06
17,F03,1,B07
20,G06,1,B09
21,H01,1,B10
3,D05,1,C01
7,B03,1,C02
8,F06,1,C03
11,F09,1,C04
14,E12,1,C05
16,C06,1,C06
18,C05,1,C07
19,F05,1,C08
21,C09,1,C09
3,E06,1,D01
7,E09,1,D02
9,C10,1,D03
12,G04,1,D04
15,C07,1,D05
16,E01,1,D06
18,D04,1,D07
19,F06,1,D08
21,D10,1,D09
4,B05,1,E01
7,F04,1,E02
9,C04,1,E03
13,A01,1,E04
15,D10,1,E05
16,G12,1,E06
18,F12,1,E07
19,G04,1,E08
21,D09,1,E09
4,D11,1,F01
7,H01,1,F02
9,E11,1,F03
13,B12,1,F04
15,F01,1,F05
16,H06,1,F06
18,F05,1,F07
19,H01,1,F08
21,E08,1,F09
4,F01,1,G01
8,B04,1,G02
10,C09,1,G03
13,D04,1,G04
15,G11,1,G05
17,C04,1,G06
18,H08,1,G07
20,A07,1,G08
21,G04,1,G09
5,G02,1,H01
8,C05,1,H02
10,G02,1,H03
13,H05,1,H04
15,G12,1,H05
17,E01,1,H06
19,B08,1,H07
20,B05,1,H08
21,G07,1,H09
23,E07,1,A11
24,G06,1,A12
23,F12,1,B11
24,G07,1,B12
22,C10,1,C10
23,H02,1,C11
24,G08,1,C12
22,C03,1,D10
24,A02,1,D11
24,H06,1,D12
22,F12,1,E10
24,B10,1,E11
25,D03,1,E12
22,G03,1,F10
24,C02,1,F11
25,E02,1,F12
23,A04,1,G10
24,F07,1,G11
25,G01,1,G12
23,D12,1,H10
24,F09,1,H11
26,A10,1,H12
26,A07,2,A01
29,D02,2,A03
32,A03,2,A04
34,A03,2,A05
35,F11,2,A06
38,D12,2,A07
40,D01,2,A08
42,E07,2,A09
26,C11,2,B01
28,D11,2,B02
29,G10,2,B03
32,B07,2,B04
34,C09,2,B05
35,F09,2,B06
38,F03,2,B07
41,A01,2,B08
26,D02,2,C01
28,D12,2,C02
29,G04,2,C03
32,F04,2,C04
34,D12,2,C05
38,H09,2,C07
41,B03,2,C08
26,E08,2,D01
28,G12,2,D02
30,E10,2,D03
32,G08,2,D04
34,E01,2,D05
39,A03,2,D07
41,B05,2,D08
26,F09,2,E01
28,H01,2,E02
30,F12,2,E03
32,H09,2,E04
34,F10,2,E05
37,A11,2,E06
39,A07,2,E07
41,B08,2,E08
27,G05,2,F01
29,A07,2,F02
31,C02,2,F03
33,A12,2,F04
35,C04,2,F05
37,C10,2,F06
39,A09,2,F07
41,F06,2,F08
28,B11,2,G01
29,B08,2,G02
31,G12,2,G03
33,A06,2,G04
35,C07,2,G05
37,H01,2,G06
39,E11,2,G07
42,D01,2,G08
28,C02,2,H01
29,C10,2,H02
31,G09,2,H03
33,D07,2,H04
35,D01,2,H05
38,C05,2,H06
39,H06,2,H07
42,E10,2,H08
45,H09,2,A10
47,D08,2,A11
49,F07,2,A12
43,A11,2,B09
46,D03,2,B10
47,E03,2,B11
43,H07,2,C09
46,E03,2,C10
47,F02,2,C11
51,B01,2,C12
44,A11,2,D09
46,E08,2,D10
48,C02,2,D11
51,B07,2,D12
44,A05,2,E09
46,E09,2,E10
48,E09,2,E11
51,C03,2,E12
44,H07,2,F09
46,F12,2,F10
48,H05,2,F11
51,E03,2,F12
45,C07,2,G09
47,A02,2,G10
49,C03,2,G11
51,E05,2,G12
45,E07,2,H09
47,D02,2,H10
49,F04,2,H11
51,F01,2,H12
36,B11,2,C06
36,H07,2,D06
51,H02,3,A01
55,C07,3,A02
60,A11,3,A04
61,A12,3,A05
62,G09,3,A06
51,H05,3,B01
55,F12,3,B02
58,B09,3,B03
60,B03,3,B04
61,A03,3,B05
63,B08,3,B06
53,B02,3,C01
56,A12,3,C02
58,D05,3,C03
60,C12,3,C04
61,B08,3,C05
63,D11,3,C06
56,H07,3,D02
58,F01,3,D03
60,C07,3,D04
61,G11,3,D05
63,F11,3,D06
54,D07,3,E01
57,A02,3,E02
58,F12,3,E03
60,F05,3,E04
63,F07,3,E06
54,E02,3,F01
57,E04,3,F02
58,G07,3,F03
60,G03,3,F04
62,C12,3,F05
63,G12,3,F06
54,F01,3,G01
57,F05,3,G02
58,G08,3,G03
60,G04,3,G04
62,D01,3,G05
55,C03,3,H01
58,B05,3,H02
59,E01,3,H03
60,H10,3,H04
64,D02,3,A07
66,D02,3,A08
68,C08,3,A09
70,F06,3,A10
72,C07,3,A11
74,C08,3,A12
64,F05,3,B07
66,G12,3,B08
68,F11,3,B09
71,B12,3,B10
72,D05,3,B11
74,E02,3,B12
64,H04,3,C07
66,G06,3,C08
68,F07,3,C09
71,E11,3,C10
72,E09,3,C11
74,E09,3,C12
65,D03,3,D07
67,A06,3,D08
68,H11,3,D09
71,G05,3,D10
72,F06,3,D11
74,F08,3,D12
65,G07,3,E07
67,B05,3,E08
69,B09,3,E09
71,G06,3,E10
72,H04,3,E11
75,B08,3,E12
65,G09,3,F07
67,D07,3,F08
70,B11,3,F09
71,H03,3,F10
73,D03,3,F11
75,C10,3,F12
64,B06,3,G06
66,A05,3,G07
67,G02,3,G08
70,E11,3,G09
72,A03,3,G10
73,F04,3,G11
75,C07,3,G12
64,D11,3,H06
66,B07,3,H07
68,A08,3,H08
70,E03,3,H09
72,A06,3,H10
73,F05,3,H11
