#Plate in Progenitor Collection,Well in Progenitor Collection,Sequencing File Directory,Sequencing File Name
101,D10,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,101_D10-buz247.seq
104,B8,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,104_B8-buz247.seq
105,A2,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,105_A2-buz247.seq
111,B6,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,111_B6-buz247.seq
113,D12,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,113_D12-buz247.seq
113,E5,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,113_E5-buz247.seq
115,B3,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,115_B3-buz247.seq
121,G6,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,121_G6-buz247.seq
149,B4,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,149_B4-buz247.seq
152,A7,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,152_A7-buz247.seq
153,D8,/Users/buz/Dropbox (BarstowLab)/Documents/GTD/GTD Supporting Information/Sudoku Sequencing/Release Version of Sudoku Software/input_data/sanger_verification/sanger_reads,153_D10-buz247.seq
