QC Plate,QC Plate Row,QC Plate Column,QC Well,Progenitor Plate,Progenitor Well,Predicted Progenitor Transposon Coordinates,Progenitor Locatabilities,Hoped For Transposon,Confirmed Predicted Transposon Coordinates,Features Disrupted,Distances of Transposon from Translation Starts,Fractional Distances of Transposon from Translation Starts,Locus Tags,Prediction Correct,Got What I Wanted
1,PR01,PC01,A01,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A02,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A03,8,C06,"136396","unambiguous",136396,"136396","yhgN","86","0.15","SO_0129",Yes,Yes
1,PR01,PC01,A04,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A05,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A06,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A07,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A08,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A09,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A10,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A11,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,A12,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B01,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B02,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B03,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B04,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B05,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B06,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B07,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B08,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B09,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B10,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B11,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,B12,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C01,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C02,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C03,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C04,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C05,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C06,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C07,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C08,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C09,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C10,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C11,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,C12,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D01,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D02,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D03,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D04,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D05,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D06,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D07,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D08,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D09,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D10,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D11,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,D12,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E01,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E02,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E03,9,C04,"2208244","unambiguous",2208244,-2,NA,NA,NA,Prediction Incorrect,No,No
1,PR01,PC01,E04,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E05,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E06,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E07,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E08,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E09,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E10,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E11,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,E12,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F01,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F02,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F03,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F04,13,B12,"437953","unambiguous",437953,"437953","pdhR","386","0.51","SO_0423",Yes,Yes
1,PR01,PC01,F05,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F06,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F07,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F08,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F09,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F10,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F11,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,F12,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G01,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G02,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G03,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G04,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G05,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G06,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G07,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G08,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G09,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G10,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G11,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,G12,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H01,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H02,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H03,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H04,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H05,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H06,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H07,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H08,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H09,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H10,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H11,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
1,PR01,PC01,H12,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
2,PR01,PC02,A01,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
2,PR01,PC02,A02,,,NA,NA,NA,-1,NA,NA,NA,Blank,No,NA
