Plate,Plate Row,Plate Column,Well,Transposon Coordinates,Transposon Locatabilities,Features Disrupted,Distances of Transposon from Translation Starts,Fractional Distances of Transposon from Translation Starts,Locus Tags
1,PR01,PC01,A1,"2292305","unambiguous","SO_2180","308","0.36","SO_2180"
1,PR01,PC01,A2,"606053","ambiguous","SO_0579","1280","0.71","SO_0579"
1,PR01,PC01,A3,"3896848, 4890984","unambiguous, unambiguous","argE, None","203,NA","0.25, NA","SO_3749, None"
1,PR01,PC01,A4,"","","","","",""
1,PR01,PC01,A5,"","","","","",""
1,PR01,PC01,A6,"4906393","unambiguous","SO_4704","409","0.52","SO_4704"
1,PR01,PC01,A7,"570533","unambiguous","SO_0547","43","0.06","SO_0547"
1,PR01,PC01,A8,"4243528","unambiguous","SO_4089","704","0.72","SO_4089"
1,PR01,PC01,A9,"1935911","unambiguous","None","NA","NA","None"
1,PR01,PC01,A10,"2433115","unambiguous","SO_2323","275","0.14","SO_2323"
1,PR01,PC01,A11,"1648171","unambiguous","SO_1571","2622","0.84","SO_1571"
1,PR01,PC01,A12,"1287619","unambiguous","SO_1236","961","0.71","SO_1236"
1,PR01,PC01,B1,"4493618","unambiguous","hemY","5","0.00","SO_4316"
1,PR01,PC01,B2,"","","","","",""
1,PR01,PC01,B3,"244010, 880052, 3608327, 3652174, 4349756, 4493618, 4706353","unambiguous, unambiguous, unambiguous, unambiguous, unambiguous, unambiguous, unambiguous","None, attE, recN, None, mxdD, hemY, fdhA","NA,509,341,NA,60,5,720","NA, 0.76, 0.21, NA, 0.17, 0.00, 0.25","None, SO_0857, SO_3462, None, SO_4177, SO_4316, SO_4513"
1,PR01,PC01,B4,"4091157","ambiguous","None","NA","NA","None"
1,PR01,PC01,B5,"3652174","unambiguous","None","NA","NA","None"
1,PR01,PC01,B6,"","","","","",""
1,PR01,PC01,B7,"4349756","unambiguous","mxdD","60","0.17","SO_4177"
1,PR01,PC01,B8,"880052","unambiguous","attE","509","0.76","SO_0857"
1,PR01,PC01,B9,"1935911, 4706353","unambiguous, unambiguous","None, fdhA","NA,720","NA, 0.25","None, SO_4513"
1,PR01,PC01,B10,"2433115, 3608327","unambiguous, unambiguous","SO_2323, recN","275,341","0.14, 0.21","SO_2323, SO_3462"
1,PR01,PC01,B11,"244010","unambiguous","None","NA","NA","None"
1,PR01,PC01,B12,"1340157","unambiguous","None","NA","NA","None"
1,PR01,PC01,C1,"","","","","",""
1,PR01,PC01,C2,"2407780","unambiguous","norM","1001","0.73","SO_2295"
1,PR01,PC01,C3,"996367, 3642880","unambiguous, ambiguous","None, mexF","NA,232","NA, 0.07","None, SO_3492"
1,PR01,PC01,C4,"2362656, 4091157","unambiguous, ambiguous","sdaA, None","1197,NA","0.87, NA","SO_2248, None"
1,PR01,PC01,C5,"1279170","unambiguous","torS","1095","0.36","SO_1230"
1,PR01,PC01,C6,"","","","","",""
1,PR01,PC01,C7,"","","","","",""
1,PR01,PC01,C8,"1978825","unambiguous","SO_1882","502","0.16","SO_1882"
1,PR01,PC01,C9,"","","","","",""
1,PR01,PC01,C10,"791715, 3606585","unambiguous, ambiguous","None, lldR","NA,37","NA, 0.04","None, SO_3460"
1,PR01,PC01,C11,"383838","ambiguous","None","NA","NA","None"
1,PR01,PC01,C12,"41463.0","unambiguous","None","NA","NA","None"
1,PR01,PC01,D1,"","","","","",""
1,PR01,PC01,D2,"3828101","unambiguous","hmuD","51","0.06","SO_3675"
1,PR01,PC01,D3,"","","","","",""
1,PR01,PC01,D4,"4936272","ambiguous","add","307","0.31","SO_4731"
1,PR01,PC01,D5,"84462","ambiguous","SO_0072","109","0.29","SO_0072"
1,PR01,PC01,D6,"","","","","",""
1,PR01,PC01,D7,"2349382","unambiguous","hrpA","3731","0.96","SO_2229"
1,PR01,PC01,D8,"212631","unambiguous","SO_0204","406","0.62","SO_0204"
1,PR01,PC01,D9,"3027725","unambiguous","SO_2900","2136","0.90","SO_2900"
1,PR01,PC01,D10,"3512941","unambiguous","yceJ","320","0.58","SO_3371"
1,PR01,PC01,D11,"","","","","",""
1,PR01,PC01,D12,"2587941","unambiguous","None","NA","NA","None"
1,PR01,PC01,E1,"5018290","unambiguous","None","NA","NA","None"
1,PR01,PC01,E2,"2661213","unambiguous","adaA","275","0.77","SO_2532"
1,PR01,PC01,E3,"","","","","",""
1,PR01,PC01,E4,"3851471","unambiguous","SO_3700","1039","0.75","SO_3700"
1,PR01,PC01,E5,"4605461","ambiguous","None","NA","NA","None"
1,PR01,PC01,E6,"","","","","",""
1,PR01,PC01,E7,"4288091","ambiguous","SO_4130","374","0.81","SO_4130"
1,PR01,PC01,E8,"4606388","unambiguous","SO_4412","238","0.74","SO_4412"
1,PR01,PC01,E9,"128247, 4290322, 4896865","unambiguous, unambiguous, ambiguous","SO_0118, udp, torF","140,254,330","0.16, 0.34, 0.44","SO_0118, SO_4133, SO_4694"
1,PR01,PC01,E10,"588517","unambiguous","plsC","146","0.20","SO_0567"
1,PR01,PC01,E11,"","","","","",""
1,PR01,PC01,E12,"","","","","",""
1,PR01,PC01,F1,"739744","unambiguous","katG","1250","0.56","SO_0725"
1,PR01,PC01,F2,"367479","unambiguous","SO_0357","3115","0.95","SO_0357"
1,PR01,PC01,F3,"","","","","",""
1,PR01,PC01,F4,"","","","","",""
1,PR01,PC01,F5,"3383325","unambiguous","flgH","591","0.88","SO_3243"
1,PR01,PC01,F6,"437509","unambiguous","None","NA","NA","None"
1,PR01,PC01,F7,"2670718","unambiguous","SO_2539","688","0.35","SO_2539"
1,PR01,PC01,F8,"3359821","unambiguous","fliM","644","0.62","SO_3221"
1,PR01,PC01,F9,"4748518","unambiguous","SO_4552","567","0.27","SO_4552"
1,PR01,PC01,F10,"","","","","",""
1,PR01,PC01,F11,"","","","","",""
1,PR01,PC01,F12,"3050542","unambiguous","None","NA","NA","None"
1,PR01,PC01,G1,"","","","","",""
1,PR01,PC01,G2,"1788225, 3086893","unambiguous, unambiguous","SO_1699, L","1617,447","0.50, 0.62","SO_1699, SO_2949"
1,PR01,PC01,G3,"4708265, 5036056","ambiguous, unambiguous","fdhA, SO_A0085","2632,206","0.92, 0.38","SO_4513, SO_A0085"
1,PR01,PC01,G4,"3681823, 5092640","unambiguous, ambiguous","pilX, SO_A0138","329,357","0.71, 0.14","SO_3526, SO_A0138"
1,PR01,PC01,G5,"","","","","",""
1,PR01,PC01,G6,"1840505","unambiguous","SO_1760","557","0.72","SO_1760"
1,PR01,PC01,G7,"3776485","unambiguous","SO_3614","858","0.56","SO_3614"
1,PR01,PC01,G8,"483089, 5000356","unambiguous, ambiguous","SO_0456, SO_A0039","308,971","0.32, 0.89","SO_0456, SO_A0039"
1,PR01,PC01,G9,"4311105, 4896865, 5000356","unambiguous, ambiguous, ambiguous","SO_4149, torF, SO_A0039","1494,330,971","0.10, 0.44, 0.89","SO_4149, SO_4694, SO_A0039"
1,PR01,PC01,G10,"755610","unambiguous","SO_0739","191","0.23","SO_0739"
1,PR01,PC01,G11,"5020231","unambiguous","SO_A0061","675","0.98","SO_A0061"
1,PR01,PC01,G12,"","","","","",""
1,PR01,PC01,H1,"","","","","",""
1,PR01,PC01,H2,"4050203","unambiguous","cpdA","49","0.06","SO_3901"
1,PR01,PC01,H3,"1703249","unambiguous","truC","769","0.92","SO_1620"
1,PR01,PC01,H4,"5063054","ambiguous","SO_A0110","3158","0.75","SO_A0110"
1,PR01,PC01,H5,"4605461, 5115541","ambiguous, unambiguous","None, None","NA,NA","NA, NA","None, None"
1,PR01,PC01,H6,"3140470, 3416518","unambiguous, unambiguous","pubA, SO_3276","460,444","0.31, 0.47","SO_3030, SO_3276"
1,PR01,PC01,H7,"151486, 413116","unambiguous, unambiguous","None, frdA","NA,1735","NA, 0.86","None, SO_0398"
1,PR01,PC01,H8,"3356872","unambiguous","fliR","698","0.88","SO_3216"
1,PR01,PC01,H9,"","","","","",""
1,PR01,PC01,H10,"2892791","unambiguous","SO_2768","59","0.03","SO_2768"
1,PR01,PC01,H11,"3140470, 4277769","unambiguous, unambiguous","pubA, maeB","460,788","0.31, 0.63","SO_3030, SO_4118"
1,PR01,PC01,H12,"3165771","unambiguous","SO_3052","436","0.25","SO_3052"
2,PR01,PC02,A1,"","","","","",""
2,PR01,PC02,A2,"1163889.0","unambiguous","None","NA","NA","None"
2,PR01,PC02,A3,"","","","","",""
2,PR01,PC02,A4,"","","","","",""
2,PR01,PC02,A5,"","","","","",""
2,PR01,PC02,A6,"3399226","unambiguous","SO_3262","1418","0.81","SO_3262"
2,PR01,PC02,A7,"1842570","unambiguous","satA","304","0.45","SO_1763"
2,PR01,PC02,A8,"","","","","",""
2,PR01,PC02,A9,"3745949","unambiguous","rluD","970","1.00","SO_3579"
2,PR01,PC02,A10,"3916116","unambiguous","None","NA","NA","None"
2,PR01,PC02,A11,"1981317","unambiguous","SO_1882","2994","0.97","SO_1882"
2,PR01,PC02,A12,"3942552","ambiguous","SO_3791","276","0.23","SO_3791"
2,PR01,PC02,B1,"","","","","",""
2,PR01,PC02,B2,"1163889","ambiguous","None","NA","NA","None"
2,PR01,PC02,B3,"1395193, 1761618, 2487032, 2622108, 4250821, 4679001","unambiguous, unambiguous, unambiguous, unambiguous, unambiguous, unambiguous","SO_1337, SO_1675, SO_2384, SO_4783, SO_4093, None","39,308,970,243,1488,NA","0.10, 0.71, 0.87, 0.42, 0.36, NA","SO_1337, SO_1675, SO_2384, SO_4783, SO_4093, None"
2,PR01,PC02,B4,"2487032","unambiguous","SO_2384","970","0.87","SO_2384"
2,PR01,PC02,B5,"4679001","unambiguous","None","NA","NA","None"
2,PR01,PC02,B6,"4250821","unambiguous","SO_4093","1488","0.36","SO_4093"
2,PR01,PC02,B7,"","","","","",""
2,PR01,PC02,B8,"2142589","ambiguous","gloA","20","0.05","SO_2044"
