#Condensed Collection Plate,Condensed Collection Row,Condensed Collection Column,Condensed Collection Well,Condensed Collection Plate Row,Condensed Collection Plate Column,Progenitor Collection Plate,Progenitor Collection Row,Progenitor Collection Column,Progenitor Collection Well,Condensation Type,Desired Transposon Coordinate,Desired Feature,Desired Locus Tag
116,A,1,A01,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,B,1,B01,1,116,1,A,1,A01,Rearray,2292305,SO_2180,SO_2180
116,C,1,C01,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,D,1,D01,1,116,1,B,1,B01,Rearray,4493618,hemY,SO_4316
116,E,1,E01,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,F,1,F01,1,116,1,H,10,H10,Rearray,2892791,SO_2768,SO_2768
116,G,1,G01,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,H,1,H01,1,116,1,H,12,H12,Rearray,3165771,SO_3052,SO_3052
116,A,2,A02,1,116,1,D,2,D02,Rearray,3828101,hmuD,SO_3675
116,B,2,B02,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,C,2,C02,1,116,1,E,2,E02,Rearray,2661213,adaA,SO_2532
116,D,2,D02,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,E,2,E02,1,116,1,A,7,A07,Rearray,570533,SO_0547,SO_0547
116,F,2,F02,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,G,2,G02,1,116,1,B,7,B07,Rearray,4349756,mxdD,SO_4177
116,H,2,H02,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,A,3,A03,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,B,3,B03,1,116,1,B,8,B08,Rearray,880052,attE,SO_0857
116,C,3,C03,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,D,3,D03,1,116,1,E,8,E08,Rearray,4606388,SO_4412,SO_4412
116,E,3,E03,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,F,3,F03,1,116,10,G,1,G01,Rearray,2838743,SO_2720,SO_2720
116,G,3,G03,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,H,3,H03,1,116,10,C,12,C12,Rearray,940467,SO_0914,SO_0914
116,A,4,A04,1,116,10,C,2,C02,Rearray,510741,nosF,SO_0487
116,B,4,B04,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,C,4,C04,1,116,10,G,2,G02,Rearray,2930899,SO_2808,SO_2808
116,D,4,D04,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,E,4,E04,1,116,10,E,8,E08,Rearray,3546376,SO_3408,SO_3408
116,F,4,F04,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,G,4,G04,1,116,100,E,1,E01,Rearray,2384242,rimK,SO_2270
116,H,4,H04,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,A,5,A05,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,B,5,B05,1,116,100,E,2,E02,Rearray,4221989,SO_4068,SO_4068
116,C,5,C05,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,D,5,D05,1,116,100,H,2,H02,Rearray,97053,SO_0086,SO_0086
116,E,5,E05,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,F,5,F05,1,116,100,C,3,C03,Rearray,3783327,SO_3623,SO_3623
116,G,5,G05,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,H,5,H05,1,116,100,E,4,E04,Rearray,3600281,relA,SO_3455
116,A,6,A06,1,116,100,A,7,A07,Rearray,267947,ccmG,SO_0267
116,B,6,B06,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,C,6,C06,1,116,100,G,7,G07,Rearray,4439512,rflA,SO_4263
116,D,6,D06,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,E,6,E06,1,116,100,F,8,F08,Rearray,1583555,SO_1508,SO_1508
116,F,6,F06,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,G,6,G06,1,116,100,A,9,A09,Rearray,2018864,SO_1918,SO_1918
116,H,6,H06,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,A,7,A07,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,B,7,B07,1,116,101,D,10,D10,Rearray,3503675,SO_3361,SO_3361
116,C,7,C07,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,D,7,D07,1,116,101,A,11,A11,Rearray,4293833,speC,SO_4136
116,E,7,E07,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,F,7,F07,1,116,101,F,11,F11,Rearray,4618896,SO_4427,SO_4427
116,G,7,G07,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,H,7,H07,1,116,101,A,12,A12,Rearray,2760458,bpt,SO_2624
116,A,8,A08,1,116,101,C,2,C02,Rearray,1733042,kefB,SO_1647
116,B,8,B08,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,C,8,C08,1,116,101,A,3,A03,Rearray,4758704,SO_4561,SO_4561
116,D,8,D08,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,E,8,E08,1,116,101,G,3,G03,Rearray,5028082,SO_A0072,SO_A0072
116,F,8,F08,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,G,8,G08,1,116,102,A,1,A01,Rearray,2254656,recD,SO_2147
116,H,8,H08,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,A,9,A09,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,B,9,B09,1,116,102,D,1,D01,Rearray,4437626,SO_4261,SO_4261
116,C,9,C09,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,D,9,D09,1,116,102,F,10,F10,Rearray,4413224,leuB,SO_4235
116,E,9,E09,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,F,9,F09,1,116,102,B,5,B05,Rearray,467779,SO_0440,SO_0440
116,G,9,G09,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,H,9,H09,1,116,102,B,6,B06,Rearray,149739,SO_0141,SO_0141
116,A,10,A10,1,116,102,G,6,G06,Rearray,2763485,clpA,SO_2626
116,B,10,B10,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
116,C,10,C10,1,116,102,C,7,C07,Rearray,3506974,SO_3363,SO_3363
116,D,10,D10,1,116,NA,NA,NA,NA,NA,-1,BLANK,BLANK
