Feature Name,Locus,Start Coordinate,End Coordinate,Translation Start Coordinate,Translation End Coordinate,Disruptions Available,Distance from Translation Start,Fractional Distance from Translation Start,In Multiple Occupancy Well,Locatability,Progenitor Collection Address,Rearrayed Collection Address
mioC,['SO_0001'],334,774,774,334,"","","","","","",""
SO_0002,['SO_0002'],954,2504,954,2504,"1001, 1996, 999","47, 1042, 45","0.03, 0.67, 0.03","False, True, True","unambiguous, unambiguous, unambiguous","332_D5, 393_C2, 405_A10","28_E8, 33_A10, 34_H8"
mnmE,['SO_0003'],2589,3950,3950,2589,"3935","15","0.01","False","unambiguous","89_D7","11_C1"
yidC,['SO_0004'],4058,5683,5683,4058,"","","","","","",""
yidD,['SO_0005'],5687,5941,5941,5687,"","","","","","",""
rnpA,['SO_0006'],5908,6264,6264,5908,"","","","","","",""
rpmH,['SO_0007'],6281,6418,6418,6281,"","","","","","",""
dnaA,['SO_0008'],6873,8255,6873,8255,"8246","1373","0.99","True","unambiguous","72_F11","10_C6"
dnaN,['SO_0009'],8276,9376,8276,9376,"","","","","","",""
recF,['SO_0010'],9539,10621,9539,10621,"9965","426","0.39","False","unambiguous","139_G1","6_D10"
gyrB,['SO_0011'],10638,13055,10638,13055,"","","","","","",""
SO_0012,['SO_0012'],13129,13791,13791,13129,"13671, 13562, 13224, 13671","120, 229, 567, 120","0.18, 0.35, 0.86, 0.18","True, False, True, True","ambiguous, unambiguous, ambiguous, ambiguous","191_A8, 372_E9, 221_B3, 305_E8","17_G7, 32_H1, 39_C6, 41_E11"
SO_0013,['SO_0013'],14068,15111,14068,15111,"14163","95","0.09","False","unambiguous","386_H2","33_C6"
glyS,['SO_0014'],15180,17246,17246,15180,"","","","","","",""
glyQ,['SO_0015'],17256,18161,18161,17256,"","","","","","",""
tag,['SO_0016'],18279,18854,18279,18854,"18376","97","0.17","False","unambiguous","413_H6","35_G5"
SO_0017,['SO_0017'],18941,22129,22129,18941,"19039, 19520, 21835, 20086, 19523, 21188, 19393, 19523, 22100","3090, 2609, 294, 2043, 2606, 941, 2736, 2606, 29","0.97, 0.82, 0.09, 0.64, 0.82, 0.30, 0.86, 0.82, 0.01","True, True, True, True, True, True, True, True, False","ambiguous, ambiguous, ambiguous, ambiguous, ambiguous, unambiguous, ambiguous, ambiguous, unambiguous","142_F11, 178_A7, 191_A8, 265_F11, 326_C7, 181_E10, 219_A10, 318_A7, 37_F10","6_D11, 16_B7, 17_G7, 23_A1, 28_H2, 38_H1, 39_H4, 42_F2, 43_E5"
SO_0018,['SO_0018'],22330,22767,22767,22330,"22592","175","0.40","True","ambiguous","187_A4","17_A4"
tusA,['SO_0019'],22815,23060,23060,22815,"22817","243","0.99","False","unambiguous","110_F10","12_G2"
fadA,['SO_0020'],23307,24470,24470,23307,"24369, 24048","101, 422","0.09, 0.36","False, True","ambiguous, unambiguous","192_B12, 239_B3","17_H8, 39_D12"
fadB,['SO_0021'],24493,26643,26643,24493,"25394, 26598, 26637, 26458, 26457, 25484","1249, 45, 6, 185, 186, 1159","0.58, 0.02, 0.00, 0.09, 0.09, 0.54","True, True, False, True, True, True","ambiguous, unambiguous, unambiguous, unambiguous, unambiguous, ambiguous","368_F11, 369_B7, 140_F9, 145_B4, 138_F10, 43_B3","31_C10, 31_H10, 36_A10, 36_E11, 36_F8, 44_E9"
pepQ,['SO_0022'],27069,28388,27069,28388,"27088, 27629, 28133","19, 560, 1064","0.01, 0.42, 0.81","True, True, True","unambiguous, unambiguous, unambiguous","303_E8, 386_A7, 198_B4","26_D6, 33_B5, 38_F8"
yigZ,['SO_0023'],28404,29018,28404,29018,"28710, 28810, 28445","306, 406, 41","0.50, 0.66, 0.07","True, True, False","unambiguous, ambiguous, unambiguous","34_E1, 143_H9, 239_G12","2_D5, 36_G10, 39_C12"
trkH,['SO_0024'],29096,30556,29096,30556,"29172, 29660","76, 564","0.05, 0.39","False, True","unambiguous, unambiguous","158_E2, 181_B3","14_E11, 38_B2"
hemG,['SO_0025'],30558,31082,30558,31082,"30955","397","0.76","False","unambiguous","60_G3","3_F4"
SO_0026,['SO_0026'],31147,31455,31455,31147,"31441","14","0.05","False","unambiguous","312_G7","41_G12"
hemG,['SO_0027'],31656,32210,31656,32210,"32028","372","0.67","False","unambiguous","63_D11","3_C6"
trkI,['SO_0028'],32252,33694,33694,32252,"33602, 33139","92, 555","0.06, 0.38","False, True","unambiguous, ambiguous","286_F2, 336_H6","24_B10, 28_D12"
trkA,['SO_0029'],33706,35115,35115,33706,"33776","1339","0.95","False","unambiguous","253_G9","22_H2"
rsmB,['SO_0030'],35131,36417,36417,35131,"36162, 36393, 35871","255, 24, 546","0.20, 0.02, 0.42","True, False, True","ambiguous, ambiguous, unambiguous","88_B9, 106_C2, 379_E2","4_H6, 11_C12, 43_A8"
fmt,['SO_0031'],36420,37376,37376,36420,"","","","","","",""
def,['SO_0032'],37392,37898,37898,37392,"37890","8","0.02","False","unambiguous","400_D2","34_C5"
SO_0033,['SO_0033'],38024,39160,38024,39160,"38388, 38983, 38075","364, 959, 51","0.32, 0.84, 0.04","True, True, False","unambiguous, ambiguous, unambiguous","97_F8, 284_D11, 148_E7","5_A1, 24_D8, 36_D12"
dprA,['SO_0034'],39172,40260,39172,40260,"39389, 40111, 39236, 39234","217, 939, 64, 62","0.20, 0.86, 0.06, 0.06","False, True, True, True","unambiguous, ambiguous, unambiguous, unambiguous","368_G6, 319_B3, 367_B3, 353_B3","31_E10, 42_G2, 43_B5, 43_E1"
smg,['SO_0035'],40263,40739,40263,40739,"40597, 40583","334, 320","0.70, 0.67","True, False","ambiguous, unambiguous","187_F6, 384_F2","17_G4, 33_F2"
yrdD,['SO_0036'],40855,41418,40855,41418,"41262","407","0.72","False","unambiguous","86_C2","4_F5"
rimN,['SO_0037'],41557,42123,41557,42123,"","","","","","",""
hemF,['SO_0038'],42152,43060,42152,43060,"42990","838","0.92","True","unambiguous","175_G11","37_C11"
SO_0039,['SO_0039'],43090,43527,43527,43090,"43133","394","0.90","True","unambiguous","24_F5","8_E2"
aroE,['SO_0040'],43717,44580,43717,44580,"43726, 44578, 44578","9, 861, 861","0.01, 1.00, 1.00","False, True, True","unambiguous, unambiguous, unambiguous","21_D9, 237_B3, 237_B3","1_E9, 39_C11, 39_D11"
SO_0041,['SO_0041'],44606,44881,44606,44881,"44623","17","0.06","False","unambiguous","47_E3","2_B11"
yrdA,['SO_0042'],44973,45521,45521,44973,"45114, 45431, 45114","407, 90, 407","0.74, 0.16, 0.74","True, True, True","ambiguous, unambiguous, ambiguous","13_C4, 345_E10, 97_C4","7_C8, 29_F10, 46_D2"
rrsA,['SO_r001'],46116,47649,46116,47649,"","","","","","",""
rrlA,['SO_r002'],47961,50853,47961,50853,"","","","","","",""
rrfA,['SO_r003'],51057,51176,51057,51176,"","","","","","",""
SO_t001,['SO_t001'],51211,51287,51211,51287,"","","","","","",""
SO_0044,['SO_0044'],51728,51979,51728,51979,"51761","33","0.13","True","unambiguous","313_F6","42_D1"
nsrR,['SO_0045'],52004,52459,52004,52459,"52044","40","0.09","False","unambiguous","9_E9","45_G11"
yibQ,['SO_0046'],52434,53189,53189,52434,"52884","305","0.40","False","unambiguous","348_G7","30_E2"
SO_0047,['SO_0047'],53199,54407,54407,53199,"53871","536","0.44","False","unambiguous","331_E4","28_D7"
SO_0048,['SO_0048'],54456,55589,55589,54456,"","","","","","",""
gpmA,['SO_0049'],55600,57144,57144,55600,"","","","","","",""
SO_0050,['SO_0050'],57409,57843,57409,57843,"57419","10","0.02","False","unambiguous","296_F7","25_B8"
secB,['SO_0052'],58105,58578,58105,58578,"","","","","","",""
gpsA,['SO_0053'],58583,59599,58583,59599,"58589","6","0.01","True","unambiguous","166_E4","15_H7"
yhiN,['SO_0054'],59955,61139,59955,61139,"60821, 60853","866, 898","0.73, 0.76","False, True","unambiguous, ambiguous","189_G5, 245_F3","17_H6, 21_A8"
