readAlignmentCoord,A,B,C,D,E,F,G,H,1,2,3,4,5,6,7,8,9,10,11,12,PR01,PR02,PR03,PR04,PR05,PR06,PR07,PR08,PR09,PC01,PC02,PC03,PC04,PC05,PC06,PC07,PC08,PC09,PC10
1001,0,0,1,0,108,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,594,0,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0
2195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2573,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2574,0,44,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0
2575,5,4263,4,1,3,7,9,9,7,4,4,3,1,8059,8,2,1,40,3,8,5,3,12261,9,6,3,3,8,17,1,3,5,2,6,3,5,7229,6,6
2576,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3935,0,0,82,0,0,0,0,0,43,0,0,0,0,0,1,0,0,0,0,0,0,315,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0
6108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8244,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8245,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,0,0,0,0
8246,444,518,277,1,0,1,0,1,3,2,0,1286,0,0,0,0,1,0,2,0,0,0,1,1,0,1488,2,0,0,1,1713,0,2,2,1,2,0,2,0
9621,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9963,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9964,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
9965,0,0,0,349,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,1,122,0,0,0,0,0,0,0,0,0,0,0,1,0,483,0,0,0,0
12664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13562,0,0,0,0,0,1,1,598,769,0,0,0,1,0,1,1,1,1,0,0,0,0,0,256,0,0,0,1,0,1,371,1,0,0,0,0,0,2,0
13563,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14163,3,1,1257,2,0,0,1,0,2,1,2,0,1,2352,2,4,1,2,0,3,1,1,2,4680,1,1,2,0,6,0,1,2060,0,1,3,0,4,4,0
14164,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18376,0,1,0,0,0,0,680,1,1,0,0,1,1037,1,2,0,0,1,0,1,0,0,2,791,0,1,0,0,1,2,0,0,0,308,0,0,0,0,0
18492,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,47,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0,0
19472,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19474,3,0,0,0,1,0,0,2,0,1,0,0,0,0,1,0,4,1,1,0,0,1,1,1,0,2,0,0,0,0,1,2,0,2,0,0,0,0,0
19489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
20967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21186,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21187,8,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,0,0,3,0,0,1,9,0,0,0,0,0,0,0
21188,2706,0,1,1,0,3,0,3307,0,2,1,2,1,1,2,1,2081,3370,1,0,3,2,3,1,1,1,1,1369,1,1,7,1738,2,3,2,2,1,0,1
21189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21191,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22097,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22098,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22099,0,0,0,0,7,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,11,0,0,0,0,0,0,0
22100,0,1,1,2,1039,1,2,2,1,1,1,0,1712,0,1,0,1,0,0,2,0,0,0,0,4159,0,1,1,3,1,2,1748,1,1,1,1,3,1,1
22101,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0
22550,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22588,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22589,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,0,0,0,0,0
22590,0,0,0,0,5,14,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,25,0,0,0,0,0,0,0,27,0,0,0,0,0
22591,0,0,0,0,17,27,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,121,0,0,0,0,0,0,0,87,0,0,0,0,0
22592,15,35,17,35,3902,8930,15,5,7,12,20,12,7,9,9,10,10,5,27383,14,9,14,6,10,21,33230,23,9,124,16,9,11,15,26335,11,10,15,11,12
22593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
22594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
22814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22815,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0
22816,0,0,0,0,0,0,18,0,0,17,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
