#Plate,Well,Hoped For Transposon Coord,Feature,Average Value,Occupancy,Occupancy Test,Potential Hit,Retest,Rearray or Colony Purify,Comment,Progenitor Collection Plate,Progenitor Collection Well
1,A01,-1,Blank,6.8E-01,False,OK,FALSE,,Rearray,,,
1,A02,3865286,SO_3718,4.8E-01,True,OK,FALSE,,Rearray,,6,B12
1,A03,136396,yhgN,5.3E-01,True,OK,FALSE,,Rearray,,8,C06
1,A04,2011768,ybaY,5.5E-01,True,OK,FALSE,,Rearray,,11,B05
1,A05,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
1,A06,5037798,SO_A0089,5.6E-01,True,OK,FALSE,,Rearray,,15,G03
1,A07,997384,SO_0962,5.8E-01,True,OK,FALSE,,Rearray,,17,E11
1,A08,-1,Blank,7.6E-01,False,OK,FALSE,,Rearray,,,
1,A09,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
1,A10,1311351,SO_1262,5.1E-01,True,OK,FALSE,,Rearray,,21,G09
1,A11,-1,Blank,7.7E-01,False,OK,FALSE,,Rearray,,,
1,A12,4341830,SO_4169,4.6E-01,True,OK,FALSE,,Rearray,,24,G06
1,B01,4493618,hemY,4.7E-01,True,OK,FALSE,,Rearray,,1,B01
1,B02,3835250,calR,5.5E-01,True,OK,FALSE,,Rearray,,6,H12
1,B03,1551382,aceA,5.9E-01,True,OK,FALSE,,Rearray,,8,C07
1,B04,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
1,B05,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
1,B06,4999467,SO_A0039,6.1E-01,True,OK,FALSE,,Rearray,,16,C12
1,B07,2460891,SO_2353,6.2E-01,True,OK,FALSE,,Rearray,,17,F03
1,B08,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
1,B09,189295,SO_0185,6.1E-01,True,OK,FALSE,,Rearray,,20,G06
1,B10,4902322,SO_4700,5.8E-01,True,OK,FALSE,,Rearray,,21,H01
1,B11,3407050,SO_3269,5.6E-01,True,OK,FALSE,,Rearray,,23,F12
1,B12,-1,Blank,7.6E-01,False,OK,FALSE,,Rearray,,,
1,C01,2595474,SO_2473,4.7E-01,True,OK,FALSE,,Rearray,,3,D05
1,C02,-1,Blank,7.5E-01,False,OK,FALSE,,Rearray,,,
1,C03,1266101,deoB,6.0E-01,True,OK,FALSE,,Rearray,,8,F06
1,C04,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
1,C05,245099,tufA,6.4E-01,True,OK,FALSE,,Rearray,,14,E12
1,C06,557385,gapA,6.3E-01,True,OK,FALSE,,Rearray,,16,C06
1,C07,2576507,cga,6.3E-01,True,OK,FALSE,,Rearray,,18,C05
1,C08,4674872,SO_4488,6.2E-01,True,OK,FALSE,,Rearray,,19,F05
1,C09,3193058,mnmC,6.2E-01,True,OK,FALSE,,Rearray,,21,C09
1,C10,2690278,rnhA,5.9E-01,True,OK,FALSE,,Rearray,,22,C10
1,C11,-1,Blank,8.1E-01,False,OK,FALSE,,Rearray,,,
1,C12,-1,Blank,7.9E-01,False,OK,FALSE,,Rearray,,,
1,D01,-1,Blank,7.3E-01,False,OK,FALSE,,Rearray,,,
1,D02,1562800,glgX,5.8E-01,True,OK,FALSE,,Rearray,,7,E09
1,D03,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
1,D04,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
1,D05,815088,SO_0802,6.3E-01,True,OK,FALSE,,Rearray,,15,C07
1,D06,-1,Blank,7.8E-01,False,OK,FALSE,,Rearray,,,
1,D07,638640,SO_0614,6.2E-01,True,OK,FALSE,,Rearray,,18,D04
1,D08,556902,SO_0536,6.4E-01,True,OK,FALSE,,Rearray,,19,F06
1,D09,2579516,SO_2460,6.0E-01,True,OK,FALSE,,Rearray,,21,D10
1,D10,-1,Blank,8.0E-01,False,OK,FALSE,,Rearray,,,
1,D11,4610859,SO_4418,6.0E-01,True,OK,FALSE,,Rearray,,24,A02
1,D12,3497659,yggS,5.8E-01,True,OK,FALSE,,Rearray,,24,H06
1,E01,932464,nqrD,5.0E-01,True,OK,FALSE,,Rearray,,4,B05
1,E02,5054344,SO_A0105,5.9E-01,True,OK,FALSE,,Rearray,,7,F04
1,E03,2208244,SO_2109,6.1E-01,True,OK,FALSE,,Rearray,,9,C04
